#separator:tab
#html:true
#notetype:Basic
#deck:CS::OSTEP::ch28-locks
#guid column:1
#tags column:5
#columns:GUID	Front	Back	Source	Tags
cs-ostep-ch28-locks-011	What atomicity invariant must test-and-set satisfy to guarantee mutual exclusion?	The read and write of the lock word must be indivisible — no other thread can observe or modify the lock word between them.<br>If TAS were non-atomic, two threads could both read 0 before either writes 1, allowing double acquisition.	OSTEP ch28 §locks	recall::invariant diff::2 cs::concurrency topic::hardware-atomics
cs-ostep-ch28-locks-012	What failure occurs when a spin lock is implemented without memory barriers?	The compiler or CPU may reorder memory accesses across the lock boundary.<br>Critical-section reads/writes can appear to execute before acquire() or after release(), silently breaking mutual exclusion.	OSTEP ch28 §locks	recall::failure-mode diff::4 cs::concurrency topic::memory-model
cs-ostep-ch28-locks-013	What is the observable consequence of a missing memory barrier on spin lock release?	A thread that acquires the lock may read stale values because the previous holder's writes have not yet propagated globally.<br>The critical section appears correctly serialized in source order but not in hardware execution order.	OSTEP ch28 §locks	recall::failure-mode diff::4 cs::concurrency topic::memory-model
cs-ostep-ch28-locks-014	What is the canonical code pattern for spin lock acquire using test-and-set?	<code>void acquire(int *lock) {<br>&nbsp;&nbsp;while (TestAndSet(lock) == 1)<br>&nbsp;&nbsp;&nbsp;&nbsp;; // spin<br>}</code><br>Loop until TAS returns 0, meaning the lock was free and is now set to 1 (held) by us.	OSTEP ch28 §locks	recall::code-pattern diff::2 cs::concurrency topic::spin-lock
cs-ostep-ch28-locks-015	What is the canonical code pattern for spin lock release, and why must it include a memory fence?	<code>void release(int *lock) {<br>&nbsp;&nbsp;*lock = 0; // with store fence<br>}</code><br>The fence ensures all critical-section writes are globally visible before the lock word reads as 0 to other threads.	OSTEP ch28 §locks	recall::code-pattern diff::2 cs::concurrency topic::spin-lock
cs-ostep-ch28-locks-016	Give a concrete scenario where a spin lock is required instead of a sleep lock.	Interrupt service routines (ISRs) and code running with interrupts disabled cannot call blocking primitives.<br>Sleeping in an ISR would deadlock; a spin lock is the only safe synchronization primitive in that context.	OSTEP ch28 §locks	recall::application diff::3 cs::concurrency topic::spin-lock topic::interrupts
cs-ostep-ch28-locks-017	What is the time complexity of spin lock acquire in the uncontended case, and why?	O(1) — a single TAS instruction atomically tests and sets the free lock word.<br>No queuing, kernel calls, or rescheduling are involved when there is no contention.	OSTEP ch28 §locks	recall::complexity diff::2 cs::concurrency topic::spin-lock
cs-ostep-ch28-locks-018	Why does spin lock throughput degrade as the number of contending threads grows?	Each waiting thread continuously issues TAS on the same cache line, generating O(N) cache-coherence invalidations.<br>Every TAS bounces the cache line across CPUs, turning memory bandwidth into the bottleneck.	OSTEP ch28 §locks	recall::complexity diff::3 cs::concurrency topic::spin-lock topic::cache-coherence
cs-ostep-ch28-locks-019	Trace two threads (T1, T2) calling acquire() simultaneously on a free spin lock. What happens step by step?	1. lock=0; both T1 and T2 call TAS.<br>2. Hardware serializes: T1's TAS reads 0, writes 1, returns 0 → T1 acquires lock.<br>3. T2's TAS reads 1, returns 1 → T2 spins.<br>4. T1 finishes, calls release(), writes lock=0.<br>5. T2's next TAS reads 0, writes 1, returns 0 → T2 acquires lock.	OSTEP ch28 §locks	recall::trace diff::3 cs::concurrency topic::spin-lock
# Generated 19 cards · types:{definition:2, mechanism:2, why:2, distinction:2, edge-case:1, invariant:2, failure-mode:2, code-pattern:2, application:1, complexity:2, trace:1} · deck CS::OSTEP::ch28-locks
